Team,Location
449,"Silver Spring, Maryland"
101,"Chicago, Illinois"
2068,"Manassas, Virginia"
1727,"Lutherville Timonium, Maryland"
401,"Christiansburg, Virginia"
2914,"Washington, District of Columbia"
1086,"Glen Allen, Virginia"
836,"Hollywood, Maryland"
614,"Alexandria, Virginia"
1885,"Haymarket, Virginia"
614,"Alexandria, Virginia"
27,"Clarkston, Michigan"
5830,"Gambrills, Maryland"
401,"Christiansburg, Virginia"
4472,"Woodbridge, Virginia"
888,"Glenelg, Maryland"
1727,"Lutherville Timonium, Maryland"
4472,"Woodbridge, Virginia"
4541,"Severn, Maryland"
4099,"Poolesville, Maryland"
449,"Silver Spring, Maryland"
1885,"Haymarket, Virginia"
2534,"Baltimore , Maryland"
4464,"Laurel, Maryland"
4476,"Kingston, Ontario"
4311,"Swampscott, Massachusetts"
6239,"Bowie, Maryland"
449,"Silver Spring, Maryland"
4456,"Washington, District of Columbia"
346,"Chesterfield, Virginia"
2534,"Baltimore , Maryland"
5115,"Silver Spring, Maryland"
4456,"Washington, District of Columbia"
3793,"Frederick, Maryland"
449,"Silver Spring, Maryland"
2534,"Baltimore , Maryland"
1086,"Glen Allen, Virginia"
4099,"Poolesville, Maryland"
449,"Silver Spring, Maryland"
2537,"Columbia, Maryland"
2849,"Columbia, Maryland"
5549,"Falls Church, Virginia"
1086,"Glen Allen, Virginia"
2534,"Baltimore , Maryland"
3941,"Aberdeen Proving Ground, Maryland"
1086,"Glen Allen, Virginia"
1403,"Skillman, New Jersey"
1727,"Lutherville Timonium, Maryland"
5115,"Silver Spring, Maryland"
2998,"Richmond, Virginia"
4099,"Poolesville, Maryland"
5243,"Clifton, Virginia"
225,"York, Pennsylvania"
2832,"Livonia, Michigan"
6079,"Powers, Michigan"
4456,"Washington, District of Columbia"
4099,"Poolesville, Maryland"
449,"Silver Spring, Maryland"
619,"Charlottesville, Virginia"
2534,"Baltimore , Maryland"
2068,"Manassas, Virginia"
5587,"Alexandria, Virginia"
3793,"Frederick, Maryland"
1885,"Haymarket, Virginia"
6010,"MAZATLAN, Sinaloa"
2534,"Baltimore , Maryland"
4541,"Severn, Maryland"
2849,"Columbia, Maryland"
4456,"Washington, District of Columbia"
5115,"Silver Spring, Maryland"
5587,"Alexandria, Virginia"
5115,"Silver Spring, Maryland"
1418,"Falls Church, Virginia"
1727,"Lutherville Timonium, Maryland"
225,"York, Pennsylvania"
4099,"Poolesville, Maryland"
5338,"Leesburg, Virginia"
4541,"Severn, Maryland"
1727,"Lutherville Timonium, Maryland"
1111,"Edgewater, Maryland"
611,"McLean, Virginia"
1727,"Lutherville Timonium, Maryland"
4099,"Poolesville, Maryland"
5115,"Silver Spring, Maryland"
4476,"Kingston, Ontario"
2791,"Latham, New York"
449,"Silver Spring, Maryland"
1719,"Baltimore, Maryland"
5587,"Alexandria, Virginia"
3796,"Windsor, North Carolina"
8217,"Arlington, Virginia"
1727,"Lutherville Timonium, Maryland"
2791,"Latham, New York"
612,"Chantilly, Virginia"
5549,"Falls Church, Virginia"
836,"Hollywood, Maryland"
1727,"Lutherville Timonium, Maryland"
3941,"Aberdeen Proving Ground, Maryland"
4541,"Severn, Maryland"
5243,"Clifton, Virginia"
614,"Alexandria, Virginia"
614,"Alexandria, Virginia"
2534,"Baltimore , Maryland"
2849,"Columbia, Maryland"
836,"Hollywood, Maryland"
6504,"Falls Church, Virginia"
5549,"Falls Church, Virginia"
1719,"Baltimore, Maryland"
1389,"Bethesda, Maryland"
3132,"Sydney, New South Wales"
5943,"Carmel, New York"
4541,"Severn, Maryland"
3748,"Ellicott City, Maryland"
5549,"Falls Church, Virginia"
1885,"Haymarket, Virginia"
5587,"Alexandria, Virginia"
1086,"Glen Allen, Virginia"
2068,"Manassas, Virginia"
1885,"Haymarket, Virginia"
1885,"Haymarket, Virginia"
5804,"Henrico, Virginia"
7127,"Longmeadow, Massachusetts"
614,"Alexandria, Virginia"
1895,"Manassas, Virginia"
5115,"Silver Spring, Maryland"
5587,"Alexandria, Virginia"
4456,"Washington, District of Columbia"
5338,"Leesburg, Virginia"
1885,"Haymarket, Virginia"
449,"Silver Spring, Maryland"
1261,"Suwanee, Georgia"
1389,"Bethesda, Maryland"
614,"Alexandria, Virginia"
4472,"Woodbridge, Virginia"
449,"Silver Spring, Maryland"
1389,"Bethesda, Maryland"
1885,"Haymarket, Virginia"
5587,"Alexandria, Virginia"
1389,"Bethesda, Maryland"
4541,"Severn, Maryland"
4472,"Woodbridge, Virginia"
346,"Chesterfield, Virginia"
1389,"Bethesda, Maryland"
4821,"Washington, District of Columbia"
4613,"Sydney, New South Wales"
1885,"Haymarket, Virginia"
5587,"Alexandria, Virginia"
2534,"Baltimore , Maryland"
8217,"Arlington, Virginia"
4561,"Research Triangle Park, North Carolina"
4561,"Research Triangle Park, North Carolina"
619,"Charlottesville, Virginia"
449,"Silver Spring, Maryland"
4534,"Wilmington, North Carolina"
2180,"Hamilton, New Jersey"
5549,"Falls Church, Virginia"
5549,"Falls Church, Virginia"
1086,"Glen Allen, Virginia"
1418,"Falls Church, Virginia"
2537,"Columbia, Maryland"
611,"McLean, Virginia"
2537,"Columbia, Maryland"
4099,"Poolesville, Maryland"
4541,"Severn, Maryland"
1086,"Glen Allen, Virginia"
1727,"Lutherville Timonium, Maryland"
2849,"Columbia, Maryland"
1727,"Lutherville Timonium, Maryland"
449,"Silver Spring, Maryland"
1389,"Bethesda, Maryland"
1418,"Falls Church, Virginia"
449,"Silver Spring, Maryland"
1807,"Allentown, New Jersey"
1885,"Haymarket, Virginia"
4541,"Severn, Maryland"
5587,"Alexandria, Virginia"
1086,"Glen Allen, Virginia"
5724,"Salem, Virginia"
614,"Alexandria, Virginia"
2421,"Burke, Virginia"
2363,"Newport News, Virginia"
339,"Stafford, Virginia"
4472,"Woodbridge, Virginia"
6802,"Cedar Bluff, Virginia"
1403,"Skillman, New Jersey"
2849,"Columbia, Maryland"
3796,"Windsor, North Carolina"
5587,"Alexandria, Virginia"
4821,"Washington, District of Columbia"
3329,"Kingsland, Georgia"
4099,"Poolesville, Maryland"
1885,"Haymarket, Virginia"
1885,"Haymarket, Virginia"
7504,"Brewster, New York"
5587,"Alexandria, Virginia"
612,"Chantilly, Virginia"
1885,"Haymarket, Virginia"
5587,"Alexandria, Virginia"
1086,"Glen Allen, Virginia"
1086,"Glen Allen, Virginia"
2068,"Manassas, Virginia"
449,"Silver Spring, Maryland"
1727,"Lutherville Timonium, Maryland"
4472,"Woodbridge, Virginia"
1807,"Allentown, New Jersey"
2421,"Burke, Virginia"
836,"Hollywood, Maryland"
5404,"Lansdale, Pennsylvania"
1389,"Bethesda, Maryland"
1885,"Haymarket, Virginia"
4472,"Woodbridge, Virginia"
611,"McLean, Virginia"
1885,"Haymarket, Virginia"
449,"Silver Spring, Maryland"
2771,"Grandville, Michigan"
1389,"Bethesda, Maryland"
4821,"Washington, District of Columbia"
4472,"Woodbridge, Virginia"
449,"Silver Spring, Maryland"
612,"Chantilly, Virginia"
5549,"Falls Church, Virginia"
5549,"Falls Church, Virginia"
1727,"Lutherville Timonium, Maryland"
225,"York, Pennsylvania"
4472,"Woodbridge, Virginia"
2849,"Columbia, Maryland"
1640,"Downingtown, Pennsylvania"
2180,"Hamilton, New Jersey"
2421,"Burke, Virginia"
614,"Alexandria, Virginia"
6802,"Cedar Bluff, Virginia"
5587,"Alexandria, Virginia"
225,"York, Pennsylvania"
2998,"Richmond, Virginia"
3941,"Aberdeen Proving Ground, Maryland"
5549,"Falls Church, Virginia"
401,"Christiansburg, Virginia"
1885,"Haymarket, Virginia"
5587,"Alexandria, Virginia"
5587,"Alexandria, Virginia"
1885,"Haymarket, Virginia"
1885,"Haymarket, Virginia"
346,"Chesterfield, Virginia"
7667,"Napa, California"
3941,"Aberdeen Proving Ground, Maryland"
1885,"Haymarket, Virginia"
1895,"Manassas, Virginia"
2914,"Washington, District of Columbia"
346,"Chesterfield, Virginia"
5549,"Falls Church, Virginia"
7538,"Lawrenceville, Georgia"
449,"Silver Spring, Maryland"
5243,"Clifton, Virginia"
1610,"Franklin, Virginia"
346,"Chesterfield, Virginia"
1727,"Lutherville Timonium, Maryland"
5243,"Clifton, Virginia"
8217,"Arlington, Virginia"
1599,"Mechanicsville, Virginia"
4541,"Severn, Maryland"
5549,"Falls Church, Virginia"
614,"Alexandria, Virginia"
2849,"Columbia, Maryland"
4472,"Woodbridge, Virginia"
4472,"Woodbridge, Virginia"
2421,"Burke, Virginia"
1086,"Glen Allen, Virginia"
449,"Silver Spring, Maryland"
4472,"Woodbridge, Virginia"
4099,"Poolesville, Maryland"
1389,"Bethesda, Maryland"
1418,"Falls Church, Virginia"
1389,"Bethesda, Maryland"
1418,"Falls Church, Virginia"
4472,"Woodbridge, Virginia"
619,"Charlottesville, Virginia"
5115,"Silver Spring, Maryland"
3793,"Frederick, Maryland"
449,"Silver Spring, Maryland"
5115,"Silver Spring, Maryland"
4456,"Washington, District of Columbia"
422,"Richmond, Virginia"
1261,"Suwanee, Georgia"
2534,"Baltimore , Maryland"
5549,"Falls Church, Virginia"
1885,"Haymarket, Virginia"
449,"Silver Spring, Maryland"
6334,"Midlothian, Virginia"
6334,"Midlothian, Virginia"
5804,"Henrico, Virginia"
11,"Flanders, New Jersey"
5549,"Falls Church, Virginia"
3793,"Frederick, Maryland"
4099,"Poolesville, Maryland"
5830,"Gambrills, Maryland"
1885,"Haymarket, Virginia"
5587,"Alexandria, Virginia"
4099,"Poolesville, Maryland"
401,"Christiansburg, Virginia"
1885,"Haymarket, Virginia"
2068,"Manassas, Virginia"
620,"Vienna, Virginia"
5115,"Silver Spring, Maryland"
346,"Chesterfield, Virginia"
384,"Henrico, Virginia"
5587,"Alexandria, Virginia"
2068,"Manassas, Virginia"
6326,"Baltimore, Maryland"
6504,"Falls Church, Virginia"
3793,"Frederick, Maryland"
611,"McLean, Virginia"
1389,"Bethesda, Maryland"
2180,"Hamilton, New Jersey"
1418,"Falls Church, Virginia"
2534,"Baltimore , Maryland"
6882,"Fredericksburg, Virginia"
614,"Alexandria, Virginia"
1389,"Bethesda, Maryland"
2849,"Columbia, Maryland"
1389,"Bethesda, Maryland"
1885,"Haymarket, Virginia"
422,"Richmond, Virginia"
6882,"Fredericksburg, Virginia"
2191,"Hamilton, New Jersey"
4472,"Woodbridge, Virginia"
614,"Alexandria, Virginia"
4541,"Severn, Maryland"
4472,"Woodbridge, Virginia"
1885,"Haymarket, Virginia"
4541,"Severn, Maryland"
5587,"Alexandria, Virginia"
4456,"Washington, District of Columbia"
1885,"Haymarket, Virginia"
2068,"Manassas, Virginia"
1727,"Lutherville Timonium, Maryland"
5404,"Lansdale, Pennsylvania"
4472,"Woodbridge, Virginia"
3793,"Frederick, Maryland"
8217,"Arlington, Virginia"
422,"Richmond, Virginia"
3492,"Winfield, West Virginia"
5549,"Falls Church, Virginia"
449,"Silver Spring, Maryland"
1389,"Bethesda, Maryland"
225,"York, Pennsylvania"
4099,"Poolesville, Maryland"
2068,"Manassas, Virginia"
2534,"Baltimore , Maryland"
3072,"Wytheville, Virginia"
4541,"Severn, Maryland"
5587,"Alexandria, Virginia"
449,"Silver Spring, Maryland"
1885,"Haymarket, Virginia"
2607,"Warminster , Pennsylvania"
4099,"Poolesville, Maryland"
2534,"Baltimore , Maryland"
612,"Chantilly, Virginia"
977,"South Boston, Virginia"
2068,"Manassas, Virginia"
4541,"Severn, Maryland"
1086,"Glen Allen, Virginia"
2068,"Manassas, Virginia"
346,"Chesterfield, Virginia"
2534,"Baltimore , Maryland"
5549,"Falls Church, Virginia"
4541,"Severn, Maryland"
5587,"Alexandria, Virginia"
1629,"Accident, Maryland"
6882,"Fredericksburg, Virginia"
2534,"Baltimore , Maryland"
1111,"Edgewater, Maryland"
1895,"Manassas, Virginia"
2068,"Manassas, Virginia"
4472,"Woodbridge, Virginia"
4541,"Severn, Maryland"
4472,"Woodbridge, Virginia"
2832,"Livonia, Michigan"
4541,"Severn, Maryland"
1002,"Marietta, Georgia"
4472,"Woodbridge, Virginia"
2068,"Manassas, Virginia"
623,"Vienna, Virginia"
5587,"Alexandria, Virginia"
2534,"Baltimore , Maryland"
619,"Charlottesville, Virginia"
449,"Silver Spring, Maryland"
5338,"Leesburg, Virginia"
2849,"Columbia, Maryland"
5587,"Alexandria, Virginia"
1895,"Manassas, Virginia"
2849,"Columbia, Maryland"
5587,"Alexandria, Virginia"
1389,"Bethesda, Maryland"
5587,"Alexandria, Virginia"
2363,"Newport News, Virginia"
449,"Silver Spring, Maryland"
4472,"Woodbridge, Virginia"
5587,"Alexandria, Virginia"
1111,"Edgewater, Maryland"
1599,"Mechanicsville, Virginia"
5587,"Alexandria, Virginia"
6882,"Fredericksburg, Virginia"
384,"Henrico, Virginia"
5587,"Alexandria, Virginia"
4534,"Wilmington, North Carolina"
449,"Silver Spring, Maryland"
449,"Silver Spring, Maryland"
401,"Christiansburg, Virginia"
612,"Chantilly, Virginia"
5549,"Falls Church, Virginia"
1389,"Bethesda, Maryland"
614,"Alexandria, Virginia"
5945,"Fulton, Maryland"
612,"Chantilly, Virginia"
4099,"Poolesville, Maryland"
422,"Richmond, Virginia"
614,"Alexandria, Virginia"
1727,"Lutherville Timonium, Maryland"
614,"Alexandria, Virginia"
686,"Walkersville, Maryland"
321,"Philadelphia, Pennsylvania"
5338,"Leesburg, Virginia"
3266,"Eaton, Ohio"
2199,"Finksburg, Maryland"
2537,"Columbia, Maryland"
4112,"Cumming , Georgia"
612,"Chantilly, Virginia"
5945,"Fulton, Maryland"
3941,"Aberdeen Proving Ground, Maryland"
4472,"Woodbridge, Virginia"
3939,"Buchanan, Virginia"
449,"Silver Spring, Maryland"
2534,"Baltimore , Maryland"
1389,"Bethesda, Maryland"
449,"Silver Spring, Maryland"
5549,"Falls Church, Virginia"
5549,"Falls Church, Virginia"
6882,"Fredericksburg, Virginia"
2106,"Goochland, Virginia"
2421,"Burke, Virginia"
1885,"Haymarket, Virginia"
7770,"Bel Air, Maryland"
5414,"Pearland, Texas"
449,"Silver Spring, Maryland"
3793,"Frederick, Maryland"
5243,"Clifton, Virginia"
1895,"Manassas, Virginia"
1648,"Atlanta, Georgia"
1895,"Manassas, Virginia"
449,"Silver Spring, Maryland"
449,"Silver Spring, Maryland"
4456,"Washington, District of Columbia"
449,"Silver Spring, Maryland"
1403,"Skillman, New Jersey"
1389,"Bethesda, Maryland"
4472,"Woodbridge, Virginia"
1640,"Downingtown, Pennsylvania"
5549,"Falls Church, Virginia"
2068,"Manassas, Virginia"
836,"Hollywood, Maryland"
5724,"Salem, Virginia"
1389,"Bethesda, Maryland"
1389,"Bethesda, Maryland"
6334,"Midlothian, Virginia"
5549,"Falls Church, Virginia"
4472,"Woodbridge, Virginia"
5243,"Clifton, Virginia"
4456,"Washington, District of Columbia"
4561,"Research Triangle Park, North Carolina"
2791,"Latham, New York"
5338,"Leesburg, Virginia"
5115,"Silver Spring, Maryland"
7621,"Spring Branch, Texas"
4099,"Poolesville, Maryland"
3939,"Buchanan, Virginia"
4456,"Washington, District of Columbia"
422,"Richmond, Virginia"
401,"Christiansburg, Virginia"
5115,"Silver Spring, Maryland"
1727,"Lutherville Timonium, Maryland"
384,"Henrico, Virginia"
122,"Hampton, Virginia"
4099,"Poolesville, Maryland"
1111,"Edgewater, Maryland"
4472,"Woodbridge, Virginia"
